GlobalSubCodeId,GlobalCodeId,SubCodeName,Code,Description,Active,CannotModifyNameOrDelete,SortOrder,ExternalCode1,ExternalSource1,ExternalCode2,ExternalSource2,Bitmap,BitmapImage,Color,RowIdentifier,CreatedBy,CreatedDate,ModifiedBy,ModifiedDate,DeletedBy,RecordDeleted,DeletedDate
18,5382,Other,,,Y,Y,1.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 16:27:17.330,shc1979,2010-06-16 16:27:17.330,,,
33,5399,All Status,,,Y,N,1.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 15:22:36.963,shc1979,2010-06-16 15:22:36.963,,,
34,5399,To Do,,,Y,N,2.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 15:22:36.977,shc1979,2010-06-16 15:22:36.977,,,
35,5399,In Progress,,,Y,N,3.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 15:22:36.977,shc1979,2010-06-16 15:22:36.977,,,
36,5399,Signed,,,Y,N,4.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 15:22:36.993,shc1979,2010-06-16 15:22:36.993,,,
37,5399,Completed,,,Y,N,5.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 15:22:37.010,shc1979,2010-06-16 15:22:37.010,,,
38,5399,To Co-Sign,,,Y,N,6.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 15:22:37.023,shc1979,2010-06-16 15:22:37.023,,,
39,5399,"Signed, Completed",,,Y,N,7.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 15:22:37.023,shc1979,2010-06-16 15:22:37.023,,,
40,5399,"Not-Signed, Completed",,,Y,N,8.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 15:22:37.040,shc1979,2010-06-16 15:22:37.040,,,
41,5399,To Sign,,,Y,N,9.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 15:22:37.040,shc1979,2010-06-16 15:22:37.040,,,
54,5391,All Programs,,,Y,N,1.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 15:09:45.183,shc1979,2010-06-16 15:09:45.183,,,
55,5391,ACT,,,Y,N,2.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 15:09:45.183,shc1979,2010-06-16 15:09:45.183,,,
56,5391,Case Management,,,Y,N,3.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 15:09:45.183,shc1979,2010-06-16 15:09:45.183,,,
57,5391,Hab Waiver,,,Y,N,4.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 15:09:45.183,shc1979,2010-06-16 15:09:45.183,,,
58,5391,Level 2 Meds Only,,,Y,N,6.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 15:09:45.183,shc1979,2010-06-16 15:09:45.183,,,
59,5391,OP,,,Y,N,7.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 15:09:45.183,shc1979,2010-06-16 15:09:45.183,,,
60,5391,SBH,,,Y,N,8.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 15:09:45.183,shc1979,2010-06-16 15:09:45.183,,,
61,5391,Youth Services,,,Y,N,9.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 15:09:45.183,shc1979,2010-06-16 15:09:45.183,,,
62,5391,Housing Team,,,Y,N,5.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 15:09:45.183,shc1979,2010-06-16 15:09:45.183,,,
63,5392,Authorization,,,Y,N,1.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 14:18:29.443,shc1979,2010-06-16 14:18:29.443,,,
64,5392,Documents,,,Y,N,2.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 14:18:29.443,shc1979,2010-06-16 14:18:29.443,,,
65,5392,Periodic Review,,,Y,N,3.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 14:18:29.443,shc1979,2010-06-16 14:18:29.443,,,
66,5392,Finance,,,Y,N,4.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 14:18:29.443,shc1979,2010-06-16 14:18:29.443,,,
67,5392,Medication,,,Y,N,5.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 14:18:29.443,shc1979,2010-06-16 14:18:29.443,,,
68,5392,Hospitalization,,,Y,N,6.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 14:18:29.443,shc1979,2010-06-16 14:18:29.443,,,
69,5392,Advance Notice/Remind,,,Y,N,7.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 14:18:29.443,shc1979,2010-06-16 14:18:29.443,,,
70,5392,Advance/Adequate Notice,,,Y,N,8.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 14:18:29.443,shc1979,2010-06-16 14:18:29.443,,,
71,5392,No Show letter,,,Y,N,9.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 14:18:29.443,shc1979,2010-06-16 14:18:29.443,,,
72,5392,QQ Reminder,,,Y,N,10.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 14:18:29.443,shc1979,2010-06-16 14:18:29.443,,,
73,5393,All Statuses,,,Y,Y,1.0,,,,,,,,0B2D4583-C523-448C-A32F-3888FCD4D83B,shc1979,2010-06-18 12:36:37.840,shc1979,2010-06-18 12:36:37.840,,,
74,5393,Appealed,,,Y,Y,2.0,,,,,,,,0B2D4583-C523-448C-A32F-3888FCD4D83B,shc1979,2010-06-18 12:36:37.857,shc1979,2010-06-18 12:36:37.857,,,
75,5393,New,,,Y,Y,3.0,,,,,,,,0B2D4583-C523-448C-A32F-3888FCD4D83B,shc1979,2010-06-18 12:36:37.857,shc1979,2010-06-18 12:36:37.857,,,
76,5393,Requested,,,Y,Y,4.0,,,,,,,,0B2D4583-C523-448C-A32F-3888FCD4D83B,shc1979,2010-06-18 12:36:37.857,shc1979,2010-06-18 12:36:37.857,,,
77,5393,Approved,,,Y,Y,5.0,,,,,,,,0B2D4583-C523-448C-A32F-3888FCD4D83B,shc1979,2010-06-18 12:36:37.857,shc1979,2010-06-18 12:36:37.857,,,
78,5393,Denied,,,Y,Y,6.0,,,,,,,,0B2D4583-C523-448C-A32F-3888FCD4D83B,shc1979,2010-06-18 12:36:37.857,shc1979,2010-06-18 12:36:37.857,,,
79,5393,Pended,,,Y,Y,7.0,,,,,,,,0B2D4583-C523-448C-A32F-3888FCD4D83B,shc1979,2010-06-18 12:36:37.857,shc1979,2010-06-18 12:36:37.857,,,
80,5394,All Clients,,,Y,N,1.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 16:47:49.173,EII-1693,2021-11-12 18:28:47.050,,,
81,5394,Primary Clients,,,Y,N,2.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 16:47:49.220,EII-1693,2021-11-12 18:28:47.050,,,
82,5394,Non-Primary Clients,,,Y,N,3.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 16:47:49.220,EII-1693,2021-11-12 18:28:47.050,,,
83,5395,Seen in X days,,,Y,N,1.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 16:47:49.220,shc1979,2010-06-16 16:47:49.220,,,
84,5395,Seen in the last 7 days,,,Y,N,2.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 16:47:49.220,shc1979,2010-06-16 16:47:49.220,,,
85,5395,Seen in the last 2 weeks,,,Y,N,3.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 16:47:49.220,shc1979,2010-06-16 16:47:49.220,,,
86,5395,Seen in the last month,,,Y,N,4.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 16:47:49.220,shc1979,2010-06-16 16:47:49.220,,,
87,5395,Seen in the last 3 months,,,Y,N,5.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 16:47:49.297,shc1979,2010-06-16 16:47:49.297,,,
88,5395,Not seen in the last month,,,Y,N,6.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 16:47:49.313,shc1979,2010-06-16 16:47:49.313,,,
89,5395,Not seen in the last 2 month,,,Y,N,7.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 16:47:49.330,shc1979,2010-06-16 16:47:49.330,,,
90,5395,Not seen in the last 3 month,,,Y,N,8.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 16:47:49.343,shc1979,2010-06-16 16:47:49.343,,,
91,5395,Not seen in the last 6 month,,,Y,N,9.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 16:47:49.343,shc1979,2010-06-16 16:47:49.343,,,
92,5396,Last Name Begins with Any Letter,,,Y,N,1.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 16:47:49.360,shc1979,2010-06-16 16:47:49.360,,,
93,5396,Last Name Begins with A-E,,,Y,N,2.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 16:47:49.377,shc1979,2010-06-16 16:47:49.377,,,
94,5396,Last Name Begins with F-J,,,Y,N,3.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 16:47:49.377,shc1979,2010-06-16 16:47:49.377,,,
95,5396,Last Name Begins with K-O,,,Y,N,4.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 16:47:49.377,shc1979,2010-06-16 16:47:49.377,,,
96,5396,Last Name Begins with P-S,,,Y,N,5.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 16:47:49.377,shc1979,2010-06-16 16:47:49.377,,,
97,5396,Last Name Begins with T-Z,,,Y,N,6.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 16:47:49.377,shc1979,2010-06-16 16:47:49.377,,,
98,5397,All Clients,,,Y,N,1.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 18:19:27.137,EII-1693,2021-11-12 18:28:47.393,,,
99,5397,Primary Clients,,,Y,N,2.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 18:19:27.137,EII-1693,2021-11-12 18:28:47.393,,,
100,5397,Non-Primary Clients,,,Y,N,3.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 18:19:27.137,EII-1693,2021-11-12 18:28:47.393,,,
101,5398,Today,,,Y,N,1.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 18:19:27.137,shc1979,2010-06-16 18:19:27.137,,,
102,5398,This Week,,,Y,N,2.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 18:19:27.137,shc1979,2010-06-16 18:19:27.137,,,
103,5398,Next Week,,,Y,N,3.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 18:19:27.137,shc1979,2010-06-16 18:19:27.137,,,
104,5398,This Month,,,Y,N,4.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 18:19:27.137,shc1979,2010-06-16 18:19:27.137,,,
105,5398,Next Month,,,Y,N,5.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 18:19:27.137,shc1979,2010-06-16 18:19:27.137,,,
106,5398,Last Week,,,Y,N,6.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 18:19:27.137,shc1979,2010-06-16 18:19:27.137,,,
107,5398,Last Month,,,Y,N,7.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 18:19:27.137,shc1979,2010-06-16 18:19:27.137,,,
108,5398,Custom Date,,,Y,N,11.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 18:19:27.137,shc1979,2010-06-16 18:19:27.137,,,
109,5398,Last 90 Days,,,Y,N,8.0,,,,,,,,AA0A1C83-340B-4F28-A4A7-FD82DA15B35D,SCNET\jthippeswamy,2017-06-05 03:12:50.330,SCNET\jthippeswamy,2017-06-05 03:12:50.330,,,
110,5398,Last 180 Days,,,Y,N,9.0,,,,,,,,6CA26B62-79E1-4984-8CBF-80BE98F0DFBA,SCNET\jthippeswamy,2017-06-05 03:12:50.330,SCNET\jthippeswamy,2017-06-05 03:12:50.330,,,
111,5398,Last 1 Year,,,Y,N,10.0,,,,,,,,FCB59DB9-5FCB-4F5F-8588-20441025D537,SCNET\jthippeswamy,2017-06-05 03:12:50.330,SCNET\jthippeswamy,2017-06-05 03:12:50.330,,,
112,5398,All Dates,,,Y,N,12.0,,,,,,,,1C95DEC2-7990-4122-879C-6532F503DEC3,SCNET\jthippeswamy,2017-06-05 03:12:50.330,SCNET\jthippeswamy,2017-06-05 03:12:50.330,,,
113,5403,To Be Reviewed,,,Y,Y,10.0,,,,,,,,A7D8EEDA-D676-4820-B96A-93A4B19F8CCD,shcqa,2011-12-21 11:45:40.633,shcqa,2011-12-21 11:45:40.633,,,
114,5403,To Acknowledge,,,Y,N,9.0,,,,,,,,0FCEB6B6-2698-4104-B711-5275B2B70C26,shcqa,2011-12-21 11:45:40.537,shcqa,2011-12-21 11:45:40.537,,,
115,5403,"Not Signed, Not Completed,  Not Co-Signed",,,Y,N,2.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 17:21:34.647,shc1979,2010-06-16 17:21:34.647,,,
116,5403,To do,,,Y,N,3.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 17:21:39.750,shc1979,2010-06-16 17:21:39.750,,,
117,5403,In Progress,,,Y,N,4.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 17:21:42.707,shc1979,2010-06-16 17:21:42.707,,,
118,5403,Signed,,,Y,N,5.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 17:21:45.780,shc1979,2010-06-16 17:21:45.780,,,
119,5403,Completed,,,Y,N,6.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 17:21:48.613,shc1979,2010-06-16 17:21:48.613,,,
120,5403,Co-Signed,,,Y,N,7.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 17:21:51.543,shc1979,2010-06-16 17:21:51.543,,,
121,5403,To Sign,,,Y,N,8.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 17:21:54.423,shc1979,2010-06-16 17:21:54.423,,,
122,5404,Due in x days,,,Y,N,1.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 17:21:57.060,shc1979,2010-06-16 17:21:57.060,,,
123,5404,Past Due,,,Y,N,2.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 17:22:00.180,shc1979,2010-06-16 17:22:00.180,,,
124,5404,Due in 1 week and Past Due,,,Y,N,3.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 17:22:03.510,shc1979,2010-06-16 17:22:03.510,,,
125,5404,Due in 14 Days,,,Y,N,4.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 17:22:06.310,shc1979,2010-06-16 17:22:06.310,,,
126,5404,Due in 14 Days and Past Due,,,Y,N,5.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 17:22:09.953,shc1979,2010-06-16 17:22:09.953,,,
127,5404,Due in 1 to 5 weeks,,,Y,N,6.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 17:22:12.693,shc1979,2010-06-16 17:22:12.693,,,
128,5404,Due in 1 to 3 months,,,Y,N,7.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 17:22:16.137,shc1979,2010-06-16 17:22:16.137,,,
129,5404,Due greater than 3 months,,,Y,N,8.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 17:22:18.870,shc1979,2010-06-16 17:22:18.870,,,
130,5405,All Statuses,,,Y,N,3.0,,,,,,,,6477153A-385E-412A-87B5-45376C64921C,SHC,2010-06-21 18:17:49.017,SHC,2010-06-21 18:17:49.017,,,
131,5405,Completed,,,Y,N,2.0,,,,,,,,6B2A67C3-F98E-40EF-A116-F904FFEA96F5,SHC,2010-06-21 18:17:49.033,SHC,2010-06-21 18:17:49.033,,,
132,5405,Not Completed,,,Y,N,1.0,,,,,,,,5DF66E24-4D89-4AD1-80F4-0C84CB9C6F07,SHC,2010-06-21 18:17:49.050,SHC,2010-06-21 18:17:49.050,,,
133,5390,Scheduled/Show,,,Y,Y,2.0,170,,,,,,,0B2D4583-C523-448C-A32F-3888FCD4D83B,shc1979,2010-06-18 12:54:26.630,shc1979,2010-06-18 12:54:26.630,,,
134,5390,Scheduled,,,Y,Y,3.0,170,,,,,,,0B2D4583-C523-448C-A32F-3888FCD4D83B,shc1979,2010-06-18 12:54:26.643,shc1979,2010-06-18 12:54:26.643,,,
135,5390,Show,,,Y,Y,4.0,170,,,,,,,0B2D4583-C523-448C-A32F-3888FCD4D83B,shc1979,2010-06-18 12:54:26.643,shc1979,2010-06-18 12:54:26.643,,,
136,5390,No Show/Cancel,,,Y,N,5.0,170,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 18:38:20.500,shc1979,2010-06-16 18:38:20.500,,,
137,5390,Complete,,,Y,N,6.0,170,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 18:38:20.500,shc1979,2010-06-16 18:38:20.500,,,
138,5390,Entry Incomplete Claims,,,Y,N,7.0,171,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 18:38:20.500,shc1979,2010-06-16 18:38:20.500,,,
151,5385,All Active Codes,,,Y,N,1.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 14:51:18.313,shc1979,2010-06-16 14:51:18.313,,,
152,5385,All Inactive Codes,,,Y,N,2.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 14:51:18.313,shc1979,2010-06-16 14:51:18.313,,,
153,5385,All Active and InActive Codes,,,Y,N,3.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 14:51:18.313,shc1979,2010-06-16 14:51:18.313,,,
154,5386,Map to All,,,Y,N,1.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 14:51:18.313,shc1979,2010-06-16 14:51:18.313,,,
155,5386,Maps only to Practice Management Codes,,,Y,N,2.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 14:51:18.313,shc1979,2010-06-16 14:51:18.313,,,
156,5386,Maps only to Care Management Codes,,,Y,N,3.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 14:51:18.313,shc1979,2010-06-16 14:51:18.313,,,
157,5387,All Clients,,,Y,N,1.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 17:22:21.130,shc1979,2010-06-16 17:22:21.130,,,
158,5387,My Primary Clients,,,Y,N,2.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 17:22:24.787,shc1979,2010-06-16 17:22:24.787,,,
159,5387,Not My Primary Clients,,,Y,N,3.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 17:22:27.563,shc1979,2010-06-16 17:22:27.563,,,
160,5390,All Statuses,,,Y,N,1.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 18:40:58.873,shc1979,2010-06-16 18:40:58.873,,,
162,5390,Entry Complete Claims,,,Y,N,8.0,171,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 18:42:19.020,shc1979,2010-06-16 18:42:19.020,,,
163,5390,Approved Claims,,,Y,N,9.0,171,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 18:42:39.163,shc1979,2010-06-16 18:42:39.163,,,
164,5390,Paid Claims,,,Y,N,10.0,171,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 18:38:20.500,shc1979,2010-06-16 18:38:20.500,,,
165,5390,Denied Claims,,,Y,N,11.0,171,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 18:38:20.500,shc1979,2010-06-16 18:38:20.500,,,
166,5390,Pended Claims,,,Y,N,12.0,171,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 18:38:20.530,shc1979,2010-06-16 18:38:20.530,,,
167,5390,Partially Approved Claims,,,Y,N,13.0,171,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 18:38:20.530,shc1979,2010-06-16 18:38:20.530,,,
168,5390,Void,,,Y,N,14.0,171,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 18:38:20.530,shc1979,2010-06-16 18:38:20.530,,,
169,5388,Show Services and Care Mgmt Claims,,,Y,N,1.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 18:19:27.120,shc1979,2010-06-16 18:19:27.120,,,
170,5388,Show Services Only,,,Y,N,2.0,,,,,,,,B12EF6B1-6DAF-4076-B43E-84B349E8CCBC,shc1979,2010-06-16 18:19:27.137,shc1979,2010-06-16 18:19:27.137,,,
