GlobalCodeId,Category,CodeName,Code,Description,Active,CannotModifyNameOrDelete,SortOrder,ExternalCode1,ExternalSource1,ExternalCode2,ExternalSource2,Color
122,AUTHUNITTYPE        ,Days,,,Y,Y,3.0,DAYS,,,,
123,AUTHUNITTYPE        ,Items,,,Y,Y,4.0,ITEMS,,,,
124,AUTHUNITTYPE        ,Encounters,,,Y,Y,5.0,ENCOUNTERS,,,,
125,AUTHUNITTYPE        ,mg,,,N,Y,5.0,,,,,
126,AUTHUNITTYPE        ,Miles,,,N,Y,6.0,,,,,
127,AUTHUNITTYPE        ,Units,,,N,Y,7.0,,,,,
128,AUTHUNITTYPE        ,Trips,,,N,Y,8.0,,,,,
129,AUTHUNITTYPE        ,Injections,,,N,Y,9.0,,,,,
140,DIAGNOSISTYPE       ,Primary,,,Y,Y,1.0,PRIMARY,,,,
141,DIAGNOSISTYPE       ,Provisional,,,Y,Y,3.0,PRINCIPAL,,,,
142,DIAGNOSISTYPE       ,Additional,,,Y,Y,2.0,ADDITIONAL,,,,
150,DIAGNOSISSEVERITY   ,Low,,,N,Y,1.0,LOW,,,,
151,DIAGNOSISSEVERITY   ,Medium,,,N,Y,2.0,MEDIUM,,,,
152,DIAGNOSISSEVERITY   ,High,,,N,Y,3.0,HIGH,,,,
160,TPFREQUENCYTYPE     ,Daily,,,Y,Y,3.0,DAILY,,,,
161,TPFREQUENCYTYPE     ,2 days/week,,,Y,Y,4.0,2WEEKLY,,,,
162,TPFREQUENCYTYPE     ,3 days/week,,,Y,Y,5.0,3WEEKLY,,,,
163,TPFREQUENCYTYPE     ,4 days/week,,,Y,Y,6.0,4WEEKLY,,,,
164,TPFREQUENCYTYPE     ,5 days/week,,,Y,Y,7.0,5WEEKLY,,,,
165,TPFREQUENCYTYPE     ,6 days/week,,,Y,Y,8.0,6WEEKLY,,,,
166,TPFREQUENCYTYPE     ,Weekly,,,Y,Y,9.0,WEEKLY,,,,
167,TPFREQUENCYTYPE     ,Every two weeks,,,Y,Y,10.0,EVERY2WEEKS,,,,
168,TPFREQUENCYTYPE     ,Monthly,,,Y,Y,11.0,MONTHLY,,,,
169,TPFREQUENCYTYPE     ,Twice a month,,,Y,Y,12.0,2MONTHLY,,,,
170,TPFREQUENCYTYPE     ,Every 4 weeks,,,Y,Y,13.0,EVERY4WEEKS,,,,
171,TPFREQUENCYTYPE     ,Quarterly,,,Y,Y,14.0,QUARTERLY,,,,
172,TPFREQUENCYTYPE     ,Twice a quarter,,,Y,Y,15.0,2QUARTERLY,,,,
173,TPFREQUENCYTYPE     ,Every two months,,,Y,Y,16.0,EVERY2MONTHS,,,,
174,TPFREQUENCYTYPE     ,Twice a year,,,Y,Y,17.0,2YEARLY,,,,
175,TPFREQUENCYTYPE     ,Once a year,,,Y,Y,18.0,YEARLY,,,,
176,TPFREQUENCYTYPE     ,One time only,,,Y,Y,1.0,,,,,
177,TPFREQUENCYTYPE     ,Every 3 weeks,,,Y,Y,20.0,EVERY3WEEKS,,,,
178,TPFREQUENCYTYPE     ,Fiscal Year Quarterly,Fiscal Year Quarterly,Fiscal Year Quarterly,Y,Y,1.0,,,,,
181,TPDELIVERYMETHOD    ,In Person,,,Y,Y,1.0,PERSON,,,,
182,TPDELIVERYMETHOD    ,By Mail,,,Y,Y,2.0,MAIL,,,,
183,TPDELIVERYMETHOD    ,To Guardian,,,Y,Y,3.0,GUARDIAN,,,,
184,TPDELIVERYMETHOD    ,To Third Party,,,Y,Y,4.0,THIRD,,,,
185,TPDELIVERYMETHOD    ,Other,,[Description] - 1732,Y,Y,6.0,OTHER,,,,
191,TPOBJECTIVESTATUS   ,Active,,,Y,Y,1.0,ACTIVE,,,,
192,TPOBJECTIVESTATUS   ,Complete,,,Y,Y,2.0,COMPLETE,,,,
193,TPOBJECTIVESTATUS   ,Deferred,,,Y,Y,3.0,DEFERRED,,,,
194,TPOBJECTIVESTATUS   ,Discontinued,,,Y,Y,4.0,DISCONTINUED,,,,
201,UPDATEACTIVITY      ,Insert,,,Y,Y,1.0,INSERT,,,,
202,UPDATEACTIVITY      ,Update,,,Y,Y,2.0,UPDATE,,,,
203,UPDATEACTIVITY      ,Delete,,,Y,Y,3.0,DELETE,,,,
204,UPDATEACTIVITY      ,New Document Version,,,Y,Y,4.0,NEWVERSION,,,,
205,UPDATEACTIVITY      ,Sign  Document,,,Y,Y,5.0,SIGN,,,,
206,UPDATEACTIVITY      ,Decline Signature,,,Y,Y,6.0,DECLINESIGNATURE,,,,
207,UPDATEACTIVITY      ,Add Signer,,,Y,Y,7.0,ADDSIGNER,,,,
208,UPDATEACTIVITY      ,Delete Signer,,,Y,Y,8.0,DELETESIGNER,,,,
209,UPDATEACTIVITY      ,Change Author,,,Y,Y,9.0,CHANGEAUTHOR,,,,
221,ACTIVITYPAGE        ,Alert,,,Y,Y,1.0,ALERT,,,,
222,ACTIVITYPAGE        ,Assessment,,,Y,Y,2.0,ASSESSMENT,,,,
223,ACTIVITYPAGE        ,Client Information,,,Y,Y,3.0,CLIENTINFO,,,,
224,ACTIVITYPAGE        ,Diagnosis,,,Y,Y,4.0,DIAGNOSIS,,,,
225,ACTIVITYPAGE        ,Document,,,Y,Y,5.0,DOCUMENT,,,,
226,ACTIVITYPAGE        ,Message,,,Y,Y,6.0,MESSAGE,,,,
227,ACTIVITYPAGE        ,Note,,,Y,Y,7.0,NOTE,,,,
228,ACTIVITYPAGE        ,Periodic Review,,,Y,Y,8.0,PERIODICREVIEW,,,,
229,ACTIVITYPAGE        ,Preferences,,,Y,Y,9.0,PREFERENCES,,,,
230,ACTIVITYPAGE        ,Quick Goal,,,Y,Y,10.0,QUICKGOAL,,,,
231,ACTIVITYPAGE        ,Quick Intervention,,,Y,Y,11.0,QUICKINTERVENTION,,,,
232,ACTIVITYPAGE        ,Quick Need,,,Y,Y,12.0,QUICKNEED,,,,
233,ACTIVITYPAGE        ,Quick Objective,,,Y,Y,13.0,QUICKOBJECTIVE,,,,
234,ACTIVITYPAGE        ,Service,,,Y,Y,14.0,SERVICE,,,,
235,ACTIVITYPAGE        ,Transfer,,,Y,Y,15.0,TRANSFER,,,,
236,ACTIVITYPAGE        ,Treatment Plan,,,Y,Y,16.0,TXPLAN,,,,
237,ACTIVITYPAGE        ,Reference Table,,,Y,Y,17.0,REFERENCETABLE,,,,
238,ACTIVITYPAGE        ,Dashboard,,,Y,Y,18.0,DASHBOARD,,,,
239,ACTIVITYPAGE        ,External Reference Id,,,Y,Y,19.0,EXTERNALREFERENCEID,,,,
301,IMAGEFORMATTYPE     ,TIFF,,,Y,Y,,,,,,
302,SERVICECATEGORY     ,Core Services,,[Description] - 1732,Y,Y,,,,,,
303,SERVICECATEGORY     ,Speciality Services,,[Description] - 1732,Y,Y,,,,,,
304,AUTHORIZATIONSTATUS ,Partially Denied,,,Y,Y,1.0,,,,,
305,AUTHORIZATIONSTATUS ,Partially Approved,,,Y,Y,2.0,,,,,
351,CONTACTNOTEREASON   ,Reason 1,,,N,Y,0.0,,,,,
352,CONTACTNOTEREASON   ,Reason 2,,,N,Y,0.0,,,,,
353,CONTACTNOTEREASON   ,Appointment,,,Y,Y,1.0,,,,,
354,CONTACTNOTEREASON   ,Authorization,,,Y,Y,2.0,,,,,
355,CONTACTNOTEREASON   ,Complaint,,,Y,Y,3.0,,,,,
356,CONTACTNOTEREASON   ,Enrollment,,,Y,Y,4.0,,,,,
357,CONTACTNOTEREASON   ,Enrollment update,,,Y,Y,5.0,,,,,
358,CONTACTNOTEREASON   ,Enrollment: DA Needed,,,Y,Y,6.0,,,,,
359,CONTACTNOTEREASON   ,Follow up,,,Y,Y,7.0,,,,,
360,CONTACTNOTEREASON   ,Information,,,Y,Y,8.0,,,,,
361,CONTACTNOTEREASON   ,Medical Reports,,,Y,Y,9.0,,,,,
362,CONTACTNOTEREASON   ,Non-Enrolled,,,Y,Y,10.0,,,,,
363,CONTACTNOTEREASON   ,Referral,,,Y,Y,11.0,,,,,
364,CONTACTNOTEREASON   ,Reminder,,,Y,Y,12.0,,,,,
365,CONTACTNOTEREASON   ,School Reports,,,Y,Y,13.0,,,,,
366,CONTACTNOTESTATUS   ,Status 1,,,N,Y,0.0,,,,,
367,CONTACTNOTESTATUS   ,Status 2,,,N,Y,0.0,C,,,,
368,CONTACTNOTESTATUS   ,Failed,,,N,Y,2.0,,,,,
369,CONTACTNOTESTATUS   ,Canceled,,,N,Y,4.0,C,,,,
370,CONTACTNOTESTATUS   ,Scheduled,,,Y,Y,1.0,,,,,
371,CONTACTNOTESTATUS   ,Completed,,,Y,Y,3.0,C,,,,
372,CONTACTNOTETYPE     ,Type 1,,,N,Y,0.0,,,,,
373,CONTACTNOTETYPE     ,Type 2,,,N,Y,0.0,,,,,
374,CONTACTNOTETYPE     ,Phone,,,Y,Y,1.0,,,,,
375,CONTACTNOTETYPE     ,E Mail,,,Y,Y,2.0,,,,,
376,CONTACTNOTETYPE     ,Fax,,,Y,Y,3.0,,,,,
377,CONTACTNOTETYPE     ,Incoming Reports,,,Y,Y,4.0,,,,,
378,CONTACTNOTETYPE     ,Intake,,,Y,Y,5.0,,,,,
379,CONTACTNOTETYPE     ,Mail,,,Y,Y,6.0,,,,,
380,CONTACTNOTETYPE     ,Update,,,Y,Y,7.0,,,,,
381,CONTACTNOTETYPE     ,Visit,,,Y,Y,8.0,,,,,
382,CONTACTNOTEDETAIL   ,Detail 1,,,N,Y,0.0,,,,,
383,CONTACTNOTEDETAIL   ,Detail 2,,,N,Y,0.0,,,,,
384,CONTACTNOTEDETAIL   ,Left Message with someone at phone number,,,Y,Y,1.0,,,,,
385,CONTACTNOTEDETAIL   ,Left voice mail message,,,Y,Y,2.0,,,,,
386,CONTACTNOTEDETAIL   ,Confirmed appointment,,,Y,Y,3.0,,,,,
387,CONTACTNOTEDETAIL   ,Phone busy,,,Y,Y,4.0,,,,,
388,CONTACTNOTEDETAIL   ,Phone disconnected,,,Y,Y,5.0,,,,,
389,CONTACTNOTEDETAIL   ,Other,,,Y,Y,6.0,,,,,
390,CONTACTNOTEDETAIL   ,Fax to MHB,,,Y,Y,7.0,,,,,
391,CONTACTNOTEDETAIL   ,CPST to complete confirmation call,,,Y,Y,8.0,,,,,
392,CONTACTNOTEDETAIL   ,Nurse to complete confirmation call,,,Y,Y,9.0,,,,,
393,CONTACTNOTETEAM     ,Team 1,,,N,Y,0.0,,,,,
394,CONTACTNOTETEAM     ,Team 2,,,N,Y,0.0,,,,,
395,CONTACTNOTETEAM     ,Treatment Team,,,Y,Y,1.0,,,,,
401,PLANTYPE            ,Medicaids,,,Y,Y,,,,,,
2001,CLAIMLINEACTIVITY   ,Data Entry,,,Y,Y,,,,,,
2002,CLAIMLINEACTIVITY   ,Adjudication,,,Y,Y,,,,,,
2003,CLAIMLINEACTIVITY   ,Payment,,,Y,Y,,,,,,
2004,CLAIMLINEACTIVITY   ,Reversal,,,Y,Y,,,,,,
2005,CLAIMLINEACTIVITY   ,Credit,,,Y,Y,,,,,,
2006,CLAIMLINEACTIVITY   ,Refund,,,Y,Y,,,,,,
2007,CLAIMLINEACTIVITY   ,Approval,,,Y,Y,,,,,,
2008,CLAIMLINEACTIVITY   ,Pend,,,Y,Y,,,,,,
2009,CLAIMLINEACTIVITY   ,Deny,,,Y,Y,,,,,,
2010,CLAIMLINEACTIVITY   ,Void,,,Y,Y,,,,,,
2011,CLAIMLINEACTIVITY   ,Void Check,,,Y,Y,,,,,,
2013,CLAIMLINEACTIVITY   ,Denial Letter,Denial Letter,,Y,Y,,,,,,
2014,CLAIMLINEACTIVITY   ,Override Pend,OverridePend,,Y,Y,,,,,,
2015,CLAIMLINEACTIVITY   ,Manual Pend,ManualPend,,Y,Y,,,,,,
2021,CLAIMSTATUS         ,Entry Incomplete,,,Y,Y,,,,,,
2022,CLAIMSTATUS         ,Entry Complete,,,Y,Y,,,,,,
2023,CLAIMSTATUS         ,Approved,,,Y,Y,,,,,,
2024,CLAIMSTATUS         ,Denied,,,Y,Y,,,,,,
2025,CLAIMSTATUS         ,Partially  Approved,,,Y,Y,,,,,,
2026,CLAIMSTATUS         ,Paid,,,Y,Y,,,,,,
2027,CLAIMSTATUS         ,Pended,,,Y,Y,,,,,,
2028,CLAIMSTATUS         ,Void,,,Y,Y,,,,,,
2041,PROVIDERAUTHSTATUS  ,Requested,,,Y,Y,,,,,,
2042,PROVIDERAUTHSTATUS  ,Approved,,,Y,Y,,,,,,
2043,PROVIDERAUTHSTATUS  ,Denied,,,Y,Y,,,,,,
2044,PROVIDERAUTHSTATUS  ,Closed,,,Y,Y,,,,,,
2045,PROVIDERAUTHSTATUS  ,Pended,,,Y,Y,,,,,,
2046,PROVIDERAUTHSTATUS  ,Appeal,APPEAL,,Y,Y,,,,,,
2047,PROVIDERAUTHSTATUS  ,Denial-requested in error,DENIAL-REQUESTEDINERROR,,Y,Y,,,,,,
2048,PROVIDERAUTHSTATUS  ,Partially Approved,PARTIALLYAPPROVED,,Y,Y,,,,,,
2049,PROVIDERAUTHSTATUS  ,Partially Denied,PARTIALLYDENIED,,Y,Y,,,,,,
2052,PROVIDERAUTHSTATUS  ,Consumer Appeal,CONSUMERAPPEAL,,Y,Y,,,,,,
2061,EVENTSTATUS         ,Scheduled,,,Y,Y,,,,,,
2062,EVENTSTATUS         ,In Progress,,,Y,Y,,,,,,
2063,EVENTSTATUS         ,Completed,,,Y,Y,,,,,,
2064,EVENTSTATUS         ,Cancelled,,,Y,Y,,,,,,
2081,TYPEOFSCREEN        ,Face to Face,,,Y,Y,,,,,,
2082,TYPEOFSCREEN        ,Telephone,,,Y,Y,,,,,,
2083,TYPEOFSCREEN        ,Curtesy Screen,,,Y,Y,,,,,,
2101,PRESCREENLOCATION   ,Emergency  Room,,,Y,Y,,,,,,
2102,PRESCREENLOCATION   ,Agency,,,Y,Y,,,,,,
2103,PRESCREENLOCATION   ,Home,,,Y,Y,,,,,,
2104,PRESCREENLOCATION   ,Residential Placement,,,Y,Y,,,,,,
2105,PRESCREENLOCATION   ,Jail,,,Y,Y,,,,,,
2106,PRESCREENLOCATION   ,Psych Unit,,,Y,Y,,,,,,
2107,PRESCREENLOCATION   ,Medical Unit,,,Y,Y,,,,,,
2108,PRESCREENLOCATION   ,Other,,,Y,Y,,,,,,
2121,NOTIFICATIONMETHOD  ,Fax,,,Y,Y,,,,,,
2122,NOTIFICATIONMETHOD  ,Letter,,,Y,Y,,,,,,
2123,NOTIFICATIONMETHOD  ,Phone,,,Y,Y,,,,,,
2124,NOTIFICATIONMETHOD  ,Not  Notified (See Below),,,Y,Y,,,,,,
2141,CONTACTTYPE         ,Incoming Call,,,Y,Y,,,,,,
2142,CONTACTTYPE         ,Outgoing Call,,,Y,Y,,,,,,
2143,CONTACTTYPE         ,Mail,,,Y,Y,,,,,,
2144,CONTACTTYPE         ,Walk In,,,Y,Y,,,,,,
2145,CONTACTTYPE         ,Fax,,,Y,Y,,,,,,
2146,CONTACTTYPE         ,Email,,,Y,Y,,,,,,
2161,MEDICATIONSTATUS    ,Current,,,Y,Y,,,,,,
2162,MEDICATIONSTATUS    ,Modified,,,Y,Y,,,,,,
2163,MEDICATIONSTATUS    ,On Hold,,,Y,Y,,,,,,
2164,MEDICATIONSTATUS    ,Discontinued,,,Y,Y,,,,,,
2181,HOSPITALIZATIONSTATU,Admitted,,,Y,Y,,,,,,
2182,HOSPITALIZATIONSTATU,Diverted,,,Y,Y,,,,,,
2183,HOSPITALIZATIONSTATU,Discharged,,,Y,Y,,,,,,
2201,BILLINGUNITTYPE     ,Minutes,,,Y,Y,,,,,,
2202,BILLINGUNITTYPE     ,Hours,,,Y,Y,,,,,,
2203,BILLINGUNITTYPE     ,Days,,,Y,Y,,,,,,
2204,BILLINGUNITTYPE     ,Encounters,,,Y,Y,,,,,,
2205,BILLINGUNITTYPE     ,Items,,,Y,Y,,,,,,
2221,CLAIMTYPE           ,Professional,,,Y,Y,,,,,,
2222,CLAIMTYPE           ,Institutional,,,Y,Y,,,,,,
2241,SITETYPE            ,Clinic,,,Y,Y,,,,,,
2242,SITETYPE            ,Drop-In Center,,,Y,Y,,,,,,
2243,SITETYPE            ,Group Home,,,Y,Y,,,,,,
2244,SITETYPE            ,Hospital,,,Y,Y,,,,,,
2245,SITETYPE            ,Crisis Residential,,,Y,Y,,,,,,
2261,SITEPHONETYPE       ,Admin,,,Y,Y,,,,,,
2262,SITEPHONETYPE       ,Site Location,,,Y,Y,,,,,,
2281,SITEADDRESSTYPE     ,Main,,,Y,Y,,,,,,
2282,SITEADDRESSTYPE     ,Office,,,Y,Y,,,,,,
2283,SITEADDRESSTYPE     ,Office 2,,,Y,Y,,,,,,
2301,RELATIONTOMEMBER    ,Crisis Staff,,,Y,Y,,,,,,
2302,RELATIONTOMEMBER    ,Reviewer,,,Y,Y,,,,,,
2303,RELATIONTOMEMBER    ,Self,,,Y,Y,,,,,,
2304,RELATIONTOMEMBER    ,Provider,,,Y,Y,,,,,,
2305,RELATIONTOMEMBER    ,Guardian,,,Y,Y,,,,,,
2321,PRESCREENREQUEST    ,Inpatient,,,Y,Y,,,,,,
2322,PRESCREENREQUEST    ,Crisis Residential,,,Y,Y,,,,,,
2323,PRESCREENREQUEST    ,No Specific Request,,,Y,Y,,,,,,
2324,PRESCREENREQUEST    ,Other (See  Below),,,Y,Y,,,,,,
2341,PRESCREENAUTHORIZED ,Inpatient,,,Y,Y,,,,,,
2342,PRESCREENAUTHORIZED ,Crisis Residential,,,Y,Y,,,,,,
2343,PRESCREENAUTHORIZED ,Referred to Other (See Below),,,Y,Y,,,,,,
2361,PRESCREENDENIAL     ,Medical  Necessity Not Met,,,Y,Y,,,,,,
2362,PRESCREENDENIAL     ,Medical necessity indicated higher level of care,,,Y,Y,,,,,,
2363,PRESCREENDENIAL     ,Eligibility issues,,,Y,Y,,,,,,
2364,PRESCREENDENIAL     ,Other (see below),,,Y,Y,,,,,,
2381,ADMISSIONSTATUS     ,Involuntary,,,Y,Y,,,,,,
2382,ADMISSIONSTATUS     ,Voluntary,,,Y,Y,,,,,,
2421,DISCHARGETO         ,AFC,,,Y,Y,,,,,,
2422,DISCHARGETO         ,Home/Family,,,Y,Y,,,,,,
2423,DISCHARGETO         ,Homeless Shelter,,,Y,Y,,,,,,
2424,DISCHARGETO         ,Jail,,,Y,Y,,,,,,
2425,DISCHARGETO         ,Transfered to another Hospital,,,Y,Y,,,,,,
2426,DISCHARGETO         ,Transfered to Crisis Residential,,,Y,Y,,,,,,
2427,DISCHARGETO         ,Other (see below),,,Y,Y,,,,,,
2441,USERROLE            ,Claims Processor,,,Y,Y,,,,,,
2442,USERROLE            ,Adjudicate Claims,,,Y,Y,,,,,,
2443,USERROLE            ,Pay Claims,,,Y,Y,,,,,,
2444,USERROLE            ,UM Case  Manager,,,Y,Y,,,,,,
2461,USERPERMISSION      ,Create Providers,,,Y,Y,,,,,,
2462,USERPERMISSION      ,Create Contracts,,,Y,Y,,,,,,
2463,USERPERMISSION      ,Add  Members,,,Y,Y,,,,,,
2464,USERPERMISSION      ,Create Authorizations,,,Y,Y,,,,,,
2465,USERPERMISSION      ,Create Events,,,Y,Y,,,,,,
2481,PCMPLACEOFSERVICE   ,11 Office,,,Y,Y,,11,,,,
2482,PCMPLACEOFSERVICE   ,12 Home,,,Y,Y,,12,4741.0,,,
2483,PCMPLACEOFSERVICE   ,21 Inpatient Hospital,,,Y,Y,,21,4741.0,,,
2484,PCMPLACEOFSERVICE   ,22 Outpatient Hospital,,,Y,Y,,22,4741.0,,,
2485,PCMPLACEOFSERVICE   ,23 Emergency Room - Hospital,,,Y,Y,,23,4741.0,,,
2486,PCMPLACEOFSERVICE   ,24 Ambulatory Surgical Center,,,Y,Y,,24,4741.0,,,
2487,PCMPLACEOFSERVICE   ,25 Birthing Center,,,Y,Y,,25,4741.0,,,
2488,PCMPLACEOFSERVICE   ,26 Military Treatment Facility,,,Y,Y,,26,4741.0,,,
2489,PCMPLACEOFSERVICE   ,31 Skilled Nursing Facility,,,Y,Y,,31,4741.0,,,
2490,PCMPLACEOFSERVICE   ,32 Nursing Facility,,,Y,Y,,32,4741.0,,,
2491,PCMPLACEOFSERVICE   ,33 Custodial Care Facility,,,Y,Y,,33,4741.0,,,
2492,PCMPLACEOFSERVICE   ,34 Hospice,,,Y,Y,,34,4741.0,,,
2493,PCMPLACEOFSERVICE   ,41 Ambulance - Land,,,Y,Y,,41,4741.0,,,
2494,PCMPLACEOFSERVICE   ,42 Ambulance - Air or Water,,,Y,Y,,42,4741.0,,,
2495,PCMPLACEOFSERVICE   ,50 Federally Qualified Health Center,,,Y,Y,,50,4741.0,,,
2496,PCMPLACEOFSERVICE   ,51 Inpatient Psychiatric Facility,,,Y,Y,,51,4741.0,,,
2497,PCMPLACEOFSERVICE   ,52 Psychiatric Facility Partial Hospitalization,,,Y,Y,,52,4741.0,,,
2498,PCMPLACEOFSERVICE   ,53 Community Mental Health Center,,,Y,Y,,53,4741.0,,,
2499,PCMPLACEOFSERVICE   ,54 Intermediate Care Facility/Mentally Retarded,,,Y,Y,,54,4741.0,,,
2500,PCMPLACEOFSERVICE   ,55 Residential Substance Abuse Treatment Facility,,,Y,Y,,55,4741.0,,,
2501,PCMPLACEOFSERVICE   ,56 Psychiatric Residential Treatment Center,,,Y,Y,,56,4741.0,,,
2502,PCMPLACEOFSERVICE   ,60 Mass Immunization Center,,,Y,Y,,60,4741.0,,,
2503,PCMPLACEOFSERVICE   ,61 Comprehensive Inpatient Rehabilitation Facility,,,Y,Y,,61,4741.0,,,
2504,PCMPLACEOFSERVICE   ,62 Comprehensive Outpatient Rehabilitation Facility,,,Y,Y,,62,4741.0,,,
2505,PCMPLACEOFSERVICE   ,65 End Stage Renal Disease Treatment Facility,,,Y,Y,,65,4741.0,,,
2506,PCMPLACEOFSERVICE   ,71 State or Local Public Health Clinic,,,Y,Y,,71,4741.0,,,
2507,PCMPLACEOFSERVICE   ,72 Rural Health Clinic,,,Y,Y,,72,4741.0,,,
2508,PCMPLACEOFSERVICE   ,81 Independent Laboratory,,,Y,Y,,81,4741.0,,,
